feat0,feat1,feat2,feat3,feat4,feat5,feat6,feat7
,,,,,,,
,,,,,,,
,,,,,,,0.0
,,,,,0.0,0.0,
1.3409250202548368,,,,,,,
,,,,,,,
,0.0,,0.0,,,,
,,,0.5882744736556015,,,,
,0.0,,0.0,,0.0,0.0,
,,,,0.0,,,
,,,,,,,
,,,,,,,
,,,0.0,,,,
,,,,,0.0,,
,,,,,,,
,,,0.0,0.0035898091571292903,,,
,,,,,,,0.0
,,,,,0.0,,
,,,,,,,
,,,,,,,
,,0.0,,,,,
1.353031323325048,,,,,0.0,,
,,,,,,,
1.7002822610086,0.0,,,,,,
,,,,,,,
,,,0.0,,,,
,,,,,,,
,,,,0.0,,,
,,,,,,,
,,,,,0.0,,
,,,,0.0,,,0.0
,,,0.0,,,,
,,,,,,,
,,,,,,0.0,0.0
,,,0.0,,,,
,,,,,,,
,0.0,,,,,,
,0.0,0.0,,0.0,,,
,,0.0,,,0.0,,
,,,,,,,
,,,,0.0,,,
,,,,0.0,,,
,,,0.0,,,,
1.9834985137210195,,,,,,0.0,
1.2926317526896172,,0.0,,,,,
,0.0,,,,,0.0,0.0
,,,,,,0.0,
,,,,0.0,,,
,,,,,,,
,,0.0,,,,,
,,,,,0.0,,
,,,,,,,0.0
1.3826977628829114,,,,,,,
,,,,,,,
,,,,,,0.0,
,,,,,,,
,,,,,,,
,,,,,,0.0,
1.4969442342687822,,,,,,,0.0
,,,,,,0.0,
,,,0.0,,0.0,,
,,,,,,,
,,,,,,,
,,,,,,,
,,0.0,,,,0.2616155075979539,
,,,,,,0.0,0.0
1.5838167611205705,,0.0,,,,0.0,0.0
,,,,,,,
,,,,,,,0.0
,,,,,,,
,0.0,,,,,0.0,
,,0.0,,,,,
,,,,,,,
1.503181620363644,,,,,,,0.0
,,,,,,0.0,
,0.0,,,,,,
,,0.0,0.0,,,0.0,
,0.0,,,,,,
,,,,,,,
,,0.0,,0.0,,,
,,,,,,,
,,0.0,,,,,
,,,,,,,
,,,,,,,
,,,,,0.0,,
,,,,,,,
,,,,,,,
,,,,,0.0,,
,,,0.0,,,,
0.892163462226959,,,0.0,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,0.0
,,,,0.0,0.0,,
,,,,,,,
,,,,,,0.0,
,,,,,,,
,,,,,,,
,,,,,,,0.0
,,,,,,,
,0.0,0.0,,,,,
,,,,,,,
,,0.0,,,,,
,,,,,,,0.0
,,,,,,,0.0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,0.0
0.9500138194160039,,,0.0,,,,
,,,,,,,
,,,,,,,
,,,,0.0,,,
,0.0,,,,,,
,,,,,,,
,,,,,,0.0,
,,,,,,,
1.227645189526893,,,,,,,
,,,,,,,
,,,0.0,,,,
,,,,,,,
,0.0,,,,,,
,,,,,,,
,,0.0,,,,,
,,,,,,,
,,,,0.0,,,
,,,0.0,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0.0,,,,,,
,,,,0.0,,,0.0
,,,,,,,
,,,,,,,0.0
,,,0.0,,,,
,0.0,0.0,,0.0,,,
,,,,,,,
,,,,,,0.0,
,,0.0,,,,0.0,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,0.0
,0.0,,,,,,
,,,0.0,,,,
,,,,,,,
,,,,,0.0,,
,,,,,,,
,,,,,,,
,0.0,,,,,,
,,,,,,,
,,,,0.12854560999376183,,,
,,,,,0.0,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,0.0,,
,,,,0.0,,,
,,,,,,,0.0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,0.0,,,,
,,,,,,,
1.509774016662921,,,,,,,
,,,,0.0,,,
,,,,,,,
,,,,,,,
,,,,,0.0,,
,,,0.0,,,0.0,
,,,0.0,,0.0,,
,0.0,0.0,,,,,
,,,,,0.0,,
,,,,,0.0,,
,,,,,,,
,,,,,,,
,,,,0.0,,,
,,0.0,,0.24607961228222128,,0.4264538700854383,
,,0.0,,,,,
,,,,,,,
,,,,,,,0.0
,0.0,,,,0.0,,
,,,,,,,
,,,,,,,
,,,,,,,
,0.0,,0.0,,,0.0,
,,,,,,,
,,,,,,,
1.2193119831448909,,,,0.0,,,
,0.0,,,,,,
,,,,,,,0.0
,0.0,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
