method,pattern,scenario,missing_rate,impact_on_downstream_task_mean,impact_on_downstream_task_std,dataset
BGAIN,MAR,complete_train,0.1,0.0,,cancer
BGAIN,MCAR,complete_train,0.1,0.0,,cancer
BGAIN,MNAR,complete_train,0.1,0.0,,cancer
BN_AUG_Imputer,MAR,complete_train,0.1,0.0,,cancer
BN_AUG_Imputer,MAR,incomplete_train,0.1,0.0,,cancer
BN_AUG_Imputer,MCAR,complete_train,0.1,0.0,,cancer
BN_AUG_Imputer,MCAR,incomplete_train,0.1,0.0,,cancer
BN_AUG_Imputer,MNAR,complete_train,0.1,0.0,,cancer
BN_AUG_Imputer,MNAR,incomplete_train,0.1,0.0,,cancer
KNN,MAR,complete_train,0.1,0.0,,cancer
KNN,MAR,incomplete_train,0.1,0.0,,cancer
KNN,MCAR,complete_train,0.1,0.0,,cancer
KNN,MCAR,incomplete_train,0.1,0.0,,cancer
KNN,MNAR,complete_train,0.1,0.0,,cancer
KNN,MNAR,incomplete_train,0.1,0.0,,cancer
MICE,MAR,complete_train,0.1,0.0,,cancer
MICE,MAR,incomplete_train,0.1,0.0,,cancer
MICE,MCAR,complete_train,0.1,0.0,,cancer
MICE,MCAR,incomplete_train,0.1,0.0,,cancer
MICE,MNAR,complete_train,0.1,0.0,,cancer
MICE,MNAR,incomplete_train,0.1,0.0,,cancer
MeanMode,MAR,complete_train,0.1,0.0,,cancer
MeanMode,MAR,incomplete_train,0.1,0.0,,cancer
MeanMode,MCAR,complete_train,0.1,0.0,,cancer
MeanMode,MCAR,incomplete_train,0.1,0.0,,cancer
MeanMode,MNAR,complete_train,0.1,0.0,,cancer
MeanMode,MNAR,incomplete_train,0.1,0.0,,cancer
MissForest,MAR,complete_train,0.1,0.0,,cancer
MissForest,MAR,incomplete_train,0.1,0.0,,cancer
MissForest,MCAR,complete_train,0.1,0.0,,cancer
MissForest,MCAR,incomplete_train,0.1,0.0,,cancer
MissForest,MNAR,complete_train,0.1,0.0,,cancer
MissForest,MNAR,incomplete_train,0.1,0.0,,cancer
