method,pattern,scenario,missing_rate,continuous_rmse_mean,continuous_rmse_std,dataset
BGAIN,MAR,complete_train,0.1,3.0,,cancer
BGAIN,MCAR,complete_train,0.1,4.184061926062795,,cancer
BGAIN,MNAR,complete_train,0.1,2.9267740530910427,,cancer
BN_AUG_Imputer,MAR,complete_train,0.1,5.823614352529203,,cancer
BN_AUG_Imputer,MAR,incomplete_train,0.1,5.823614352529203,,cancer
BN_AUG_Imputer,MCAR,complete_train,0.1,3.6402479351865584,,cancer
BN_AUG_Imputer,MCAR,incomplete_train,0.1,3.6402479351865584,,cancer
BN_AUG_Imputer,MNAR,complete_train,0.1,0.9319682229372248,,cancer
BN_AUG_Imputer,MNAR,incomplete_train,0.1,0.9319682229372248,,cancer
KNN,MAR,complete_train,0.1,2.980059390054831,,cancer
KNN,MAR,incomplete_train,0.1,2.980059390054831,,cancer
KNN,MCAR,complete_train,0.1,2.0025948115174543,,cancer
KNN,MCAR,incomplete_train,0.1,2.0025948115174543,,cancer
KNN,MNAR,complete_train,0.1,1.5670078564513608,,cancer
KNN,MNAR,incomplete_train,0.1,1.5670078564513608,,cancer
MICE,MAR,complete_train,0.1,3.0253706034247134,,cancer
MICE,MAR,incomplete_train,0.1,3.0253706034247134,,cancer
MICE,MCAR,complete_train,0.1,1.7182782578430407,,cancer
MICE,MCAR,incomplete_train,0.1,1.7182782578430407,,cancer
MICE,MNAR,complete_train,0.1,1.430379353046995,,cancer
MICE,MNAR,incomplete_train,0.1,1.430379353046995,,cancer
MeanMode,MAR,complete_train,0.1,4.825792993150206,,cancer
MeanMode,MAR,incomplete_train,0.1,4.825792993150206,,cancer
MeanMode,MCAR,complete_train,0.1,3.083558822981875,,cancer
MeanMode,MCAR,incomplete_train,0.1,3.083558822981875,,cancer
MeanMode,MNAR,complete_train,0.1,1.632572685556763,,cancer
MeanMode,MNAR,incomplete_train,0.1,1.632572685556763,,cancer
MissForest,MAR,complete_train,0.1,3.2460612579672907,,cancer
MissForest,MAR,incomplete_train,0.1,3.2460612579672907,,cancer
MissForest,MCAR,complete_train,0.1,1.7699517585122595,,cancer
MissForest,MCAR,incomplete_train,0.1,1.7699517585122595,,cancer
MissForest,MNAR,complete_train,0.1,1.4872232346780638,,cancer
MissForest,MNAR,incomplete_train,0.1,1.4872232346780638,,cancer
